"S.NO.","English","Spanish"
1015,"Montserrat","Montserrat"
1016,"Turks & Caicos Islands","Islas Turcas y Caicos"
1017,"Grenada","Granada"
1018,"Bermuda","Bermudas"
1019,"Cayman Islands","Islas Caimán"
1020,"US Virgin Islands","Islas Vírgenes de los Estados Unidos"
1021,"British Virgin Islands","Islas Vírgenes Británicas"
1022,"Antigua & Barbuda","Antigua y Barbuda"
1023,"Anguilla","Anguila"
1024,"Barbados","Barbados"
1025,"Bahamas","Bahamas"
1026,"Uzbekistan","Uzbekistan"
1027,"Kyrgyzstan","Kyrgyzstan"
1028,"Georgia","Georgia"
1029,"Azerbaijan","Azerbaijan"
1030,"Turkmenistan","Turkmenistan"
1031,"Tajikistan","Tajikistan"
1032,"Nepal","Nepal"
1033,"Mongolia","Mongolia"
1034,"Bhutan","Bhutan"
1035,"Qatar","Qatar"
1036,"Bahrain","Bahrain"
1037,"Israel","Israel"
1038,"United Arab Emirates","Emiratos Ãrabes Unidos"
1039,"Palestine","Palestina"
1040,"Oman","Oman"
1041,"Yemen","Yemen"
1042,"Saudi Arabia","Arabia Saudita"
1043,"Kuwait","Kuwait"
1044,"Iraq","Iraq"
1045,"Syrian Arab Republic","Siria"
1046,"Jordan","Jordania"
1047,"Lebanon","Líbano"
1048,"Maldives","Maldivas"
1049,"Taiwan","Taiwan"
1050,"Bangladesh","Bangladesh"
1051,"Laos","Laos"
1052,"Cambodia","Cambodia"
1053,"Macau","Macau"
1054,"Hong Kong","Hong Kong"
1055,"North Korea","Corea del Norte"
1056,"Marshall Islands","Islas Marshall"
1057,"Micronesia","Micronesia"
1058,"Tokelau","Tokelau"
1059,"French Polynesia","Polinesia Francesa"
1060,"Tuvalu","Tuvalu"
1061,"New Caledonia","Nueva Caledonia"
1062,"Kiribati","Kiribati"
1063,"Samoa","Samoa"
1064,"Niue","Niue"
1065,"Cook Islands","Islas Cook"
1066,"Wallis & Futuna","Wallis & Futuna"
1067,"Palau","Palau"
1068,"Fiji","Fiji"
1069,"Vanuatu","Vanuatu"
1070,"Solomon Islands","Islas Salomón"
1071,"Tonga","Tonga"
1072,"Papua New Guinea","Papúa Nueva Guinea"
1073,"Nauru","Nauru"
1074,"Brunei Darussalam","Brunéi"
1075,"Norfolk Island","Isla Norfolk"
1076,"Timor-Leste","Timor Oriental"
1077,"Bonaire, Sint Eustatius & Saba","Bonaire, Sint Eustatius & Saba"
1078,"Curaçao","Curazao"
1079,"Uruguay","Uruguay"
1080,"Suriname","Surinam"
1081,"Martinique","Martinica"
1082,"Paraguay","Paraguay"
1083,"French Guiana","Guayana Francesa"
1084,"Ecuador","Ecuador"
1085,"Guyana","Guyana"
1086,"Bolivia","Bolivia"
1087,"Guadeloupe","Guadalupe"
1088,"Haiti","Haiti"
1089,"Saint Pierre & Miquelon","San Pedro y Miquelón"
1090,"Panama","Panama"
1091,"Costa Rica","Costa Rica"
1092,"Nicaragua","Nicaragua"
1093,"Honduras","Honduras"
1094,"El Salvador","El Salvador"
1095,"Guatemala","Guatemala"
1096,"Belize","Belice"
1097,"Falkland Islands","Islas Malvinas"
1098,"Liechtenstein","Liechtenstein"
1099,"Slovakia","Eslovaquia"
1100,"Czech Republic","Republica Checa"
1101,"Macedonia","Macedonia"
1102,"Bosnia & Herzegovina","Bosnia & Herzegovina"
1103,"Slovenia","Eslovenia"
1104,"Croatia","Croacia"
1105,"Montenegro","Montenegro"
1106,"Serbia","Serbia"
1107,"Ukraine","Ucrania"
1108,"San Marino","San Marino"
1109,"Monaco","Monaco"
1110,"Andorra","Andorra"
1111,"Belarus","Belarus"
1112,"Armenia","Armenia"
1113,"Moldova","Moldova"
1114,"Estonia","Estonia"
1115,"Latvia","Letonia"
1116,"Lithuania","Lituania"
1117,"Bulgaria","Bulgaria"
1118,"Finland","Finlandia"
1119,"Cyprus","Chipre"
1120,"Malta","Malta"
1121,"Albania","Albania"
1122,"Iceland","Islandia"
1123,"Ireland","Irlanda"
1124,"Luxembourg","Luxemburgo"
1125,"Portugal","Portugal"
1126,"Gibraltar","Gibraltar"
1127,"Greenland","Groenlandia"
1128,"Faroe Islands","Islas Feroe"
1129,"Aruba","Aruba"
1130,"Eritrea","Eritrea"
1131,"Saint Helena","Santa Helena"
1132,"Comoros","Comoras"
1133,"Swaziland","Suazilandia"
1134,"Botswana","Botsuana"
1135,"Lesotho","Lesoto"
1136,"Malawi","Malawi"
1137,"Namibia","Namibia"
1138,"Zimbabwe","Zimbabwe"
1139,"RÃ©union","Réunion"
1140,"Madagascar","Madagascar"
1141,"Zambia","Zambia"
1142,"Mozambique","Mozambique"
1143,"Burundi","Burundi"
1144,"Uganda","Uganda"
1145,"Tanzania","Tanzania"
1146,"Kenya","Kenya"
1147,"Djibouti","Djibouti"
1148,"Somalia","Somalia"
1149,"Ethiopia","Ethiopia"
1150,"Rwanda","Rwanda"
1151,"Sudan","Sudan"
1152,"Seychelles","Seychelles"
1153,"Saint Helena","Santa Helena"
1154,"Diego Garcia","Diego Garcia"
1155,"Guinea-Bissau","Guinea-Bisáu"
1156,"Angola","Angola"
1157,"Congo (Dem. Rep.)","Congo (Dem. Rep.)"
1158,"Congo (Rep.)","Congo (Rep.)"
1159,"Gabon","Gabón"
1160,"Equatorial Guinea","Guinea Ecuatorial"
1161,"SÃ£o TomÃ© & PrÃ­ncipe","Santo Tomé y Príncipe"
1162,"Cape Verde","Cabo Verde"
1163,"Cameroon","Camerún"
1164,"Central African Rep.","República Centroafricana"
1165,"Chad","Chad"
1166,"Nigeria","Nigeria"
1167,"Ghana","Ghana"
1168,"Sierra Leone","Sierra Leona"
1169,"Liberia","Liberia"
1170,"Benin","Mauricio"
1171,"Benin","Benín"
1172,"Togo","Togo"
1173,"Niger","Nigeria"
1174,"Burkina Faso","Burkina Faso"
1175,"CÃ´te d`Ivoire","Côte d`Ivoire"
1176,"Guinea","Guinea"
1177,"Mali","Mali"
1178,"Mauritania","Mauritania"
1179,"Senegal","Senegal"
1180,"Gambia","Gambia"
1181,"Libya","Libia"
1182,"Tunisia","Túnez"
1183,"Algeria","Algeria"
1184,"Morocco","Marruecos"
1185,"South Sudan","Sudán del Sur"
1186,"Iran","Irán"
1187,"Myanmar","Birmania"
1188,"Sri Lanka","Sri Lanka"
1189,"Afghanistan","Afghanistan"
1190,"Pakistan","Pakistan"
1191,"India","India"
1192,"Turkey","Turkia"
1193,"China","China"
1194,"Vietnam","Vietnam"
1195,"South Korea","Corea del Sur"
1196,"Japan","Japon"
1197,"Thailand","Thailandia"
1198,"Singapore","Singapur"
1199,"New Zealand","Nueva Zelanda"
1200,"Philippines","Philipinas"
1201,"Indonesia","Indonesia"
1202,"Australia","Australia"
1203,"Malaysia","Malaysia"
1204,"Venezuela","Venezuela"
1205,"Colombia","Colombia"
1206,"Chile","Chile"
1207,"Brazil","Brasil"
1208,"Argentina","Argentina"
1209,"Cuba","Cuba"
1210,"Mexico","Mexico"
1211,"Peru","Peru"
1212,"Germany","Alemania"
1213,"Poland","Polonia"
1214,"Norway","Noruega"
1215,"Sweden","Suecia"
1216,"Denmark","Dinamarca"
1217,"United Kingdom","Reino Unido"
1218,"Austria","Austria"
1219,"Y-land","Y-land"
1220,"Switzerland","Suiza"
1221,"Romania","Rumania"
1222,"Italy","Italia"
1223,"Hungary","Hungria"
1224,"Spain","España"
1225,"France","Francia"
1226,"Belgium","Belgia"
1227,"Netherlands","Países Bajos"
1228,"Greece","Grecia"
1229,"South Africa","Sudáfrica"
1230,"Egypt","Egipto"
1231,"Kazakhstan","Kazakhstan"
1232,"Russian Federation","Rusia"
1233,"Puerto Rico","Puerto Rico"
1234,"Dominican Rep.","Republica Dominicana"
1235,"Canada","Canada"
1236,"USA","Estados Unidos"
1237,"You are invited to","Tu estas invitado a"
1238,"was added","%@: se añadió %@"
1239,"left","dejó"
1240,"was removed","se eliminó"
1241,"New chat message received","Nuevo mensaje de chat recibido"
1242,"has shared a media","ha compartido un medio de comunicación"
1243,"sent a video","enviado un vídeo"
1244,"sent a picture","enviado una cuadro"
1245,"sent a audio","enviado un audio"
1246,"has shared a location","ha compartido una ubicación"
1247,"has shared a contact","ha compartido un contacto"
1248,"is updated","se actualiza"
1249,"is deleted","fue eliminado"
1250,"is cancelled","fue cancelado"
1251,"is going","asistira"
1252,"is not going","no asistirá"
1253,"may be going","Tal vez asista"
1254,"Location suggestion enabled","La opción Sugerencia de lugar está habilitadad"
1255,"Location suggestion disabled","La opción Sugerencia de lugar no está habilitada"
1256,"Time & Date suggestion enabled","La opción Sugerencia de fecha y hora está habilitada"
1257,"Time & Date suggestion disabled","La opción Sugerencia de fecha y hora no está habilitada"
1258,"Description suggestion enabled","La opción Sugerencia de descripción está habilitada"
1259,"Description suggestion disabled","La opción Sugerencia de descripción no está habilitada"
1260,"Event description suggestion has been locked.","La decripcion del evento ha sido fijada."
1261,"Event location suggestion has been locked.","El lugar del evento ha sido fijado."
1262,"Event Time suggestion has been locked.","La hora del evento ha sido fijada."
1263,"All RSVPs were reset","Se resetean todos RSVPs"
1264,"is going with","va con"
1265,"may be going with","puede estar pasando con"
1266,"not going","no se va"
1267,"Event description has been updated","Descripción del evento ha sido actualizado"
1268,"Event time has been updated","La hora del evento ha sido actualizada"
1269,"Event location has been updated","El lugar del evento ha sido actualizado"
1270,"New description suggested","Nueva descripción para el evento ha sido sugerida"
1271,"New date and time suggested","Nueva fecha y hora para el evento han sido sugeridos"
1272,"New location suggested","Nuevo lugar para el evento ha sido sugerido"
1273,"To get a personalized experience. It only takes a moment.","Para que podamos personalizar tu experiencia. Sólo te llevara un momento"
1274,"Fill out your profile","Completa tu perfil"
1275,"Organize my hangouts with SeeYouAll","Preparando mis quedadas con SeeYouAll"
1276,"No upcoming events!","¡Parece que no hay eventos próximos!"
1277,"Have a plan? Either way!! Create a SeeYouAll event and get together in a blast!!!","¿Tienes un plan? Si o no da igual!! Crea un evento SeeYouAll y junstaros en un \""plas\""!!!"
1278,"Join me at this","¡Vente a este Evento"
1279,"SeeYouAll Event!","SeeYouAll conmigo!"
1280,"Sorry, this media file doesn't exist in your device.","Lo sentimos , este medio no existe en el dispositivo."
1281,"File size is too big!! Please choose a file smaller than 10 MB","El tamaño del archivo es muy grande !! Por favor, selecciona uno menor de 10 MB"
1282,"Guest list hidden by admin","Lista de invitados escondido por admin"
1283,"Media has been shared successfully with SeeYouAll app.","Media ha sido compartida con éxito con aplicación SeeYouAll."
1284,"Text has been shared successfully with SeeYouAll app.","El texto ha sido compartida con éxito con aplicación SeeYouAll."
1285,"Guest list was updated","Lista de invitados fue actualizada"
1286,"you maybe going","Tú tal vez asistas"
1287,"maybe going","Tal vez asista"
1288,"Please select different status then previous one","Por favor selecciona un estado diferente al actual"
1289,"phone number not matched","numero de telefono no corresponde con el actual"
1290,"wait for event to sync","espere a que se sincronice la votacion"
1291,"You are in waiting.","Usted está en espera."
1292,"Profile imported successfully.","Perfil importado correctamente."
1293,"Go to SeeYouAll App","Ir SeeYouAll aplicación"
1294,"New Guests Invited:","INVITADO"
1295,"Could not access the calendar because permission was not granted.","No se pudo acceder a la agenda , porque no se le concedió el permiso."
1296,"You have selected","Has selecionado"
1297,"Network Connection is required!","Se necesita conexión a la red!"
1298,"Day View","vista del día"
1299,"Fails!! Please try another option!","¡Error! ¡Por favor prueba otra opción!"
1300,"updatedd","bloqueo"
1301,"adult(s) and","adultos y"
1302,"kid(s)","niños"
1303,"adult(s) and","adultos y"
1304,"kid(s)","niños"
1305,"Event image has been changed","Se ha cambiado la imagen del evento"
1306,"Event title has been updated to ","Se ha actualizado el título del evento a "
1307,"Event admin changed to ","Se ha cambiado el administrador del evento a "
1308,"Event start date changed to ","Se ha cambiado la fecha de inicio del evento a "
1309,"Event end date changed to ","Se ha cambiado la fecha de finalización del evento a "
1310,"Event start time changed to ","Se ha cambiado la hora de inicio del evento a "
1311,"Event end time changed to ","Se ha cambiado la hora de finalización del evento a "
1312,"Event last day to confirm changed to ","Se ha cambiado el último día para confirmar a "
1313,"Bringing guests is enabled","La opción Traer acompañantes está habilitada"
1314,"Bringing guest is disabled","La opción Traer acompañantes no está habilitada"
1315,"Event description has been updated","La descripción del evento ha sido actualizada"
1316,"Event last day to confirm has been updated","Se ha sido actualizada último día para confirmar a  "
1317,"RSVP for kids or adults is enabled","La opción Confirmación de asistencia para niños está habilitada"
1318,"RSVP for kids or adults is disabled","La opción Confirmación de asistencia para niños no está habilitada"
1319,"Event rsvp limit set to enabled","Límite de confirmación de asistencia al evento habilitado"
1320,"Event rsvp limit set to disabled","Límite de confirmación de asistencia al evento no habilitado"
1321,"Event maximum capacity limit set to ","Límite de capacidad máxima del evento establecido en "
1322,"Event dress code changed to ","Se ha cambiado el código de vestimenta a "
1323,"Event cost decided as ","El precio del evento es "
1324,"Voting is enabled","La opción Votar está habilitada"
1325,"Voting is disabled","La opción Votar no está habilitada"
1326,"Description suggestion is enabled","La opción Sugerencia de descripción está habilitada"
1327,"Description suggestion is disabled","La opción Sugerencia de descripción no está habilitada"
1328,"Location suggestion is enabled","La opción Sugerencia de lugar está habilitada"
1329,"Location suggestion is disabled","La opción Sugerencia de lugar no está habilitada"
1330,"Time&date suggestion is enabled","La opción Sugerencia de fecha y hora está habilitada"
1331,"Time&date suggestion is disabled","La opción Sugerencia de fecha y hora no está habilitada"
1332,"Chatting is disabled","La opción Chat está habilitada"
1333,"Chatting is enabled","La opción Chat no está habilitada"
1334,"Event location has been changed to ","El lugar del evento se ha actualizado a "
1335,"Guest list hidden by admin","Lista de invitados oculta por el administrador"
1336,"Guest list shown by admin","Lista de invitados mostrada por el administrador"
1337,"RSVP Deadline is about to pass!","Fecha a corfirmar va a expirar!"
1338,"Rsvp: No changes are allowed now!","Confirmacion de asistencia cerrada!"
1339,"Changes has been discarded","Ultimos cambios han sido descartados"
1340,"Event is about to start","Se ha cambiado la fecha de inicio del evento a "
1341,"You are no longer on the waiting list! Your attendance is now confirmed as Going!","¡Ya no estÃ¡s en la lista de espera! Ahora estÃ¡s confirmado como que AsistirÃ¡s!"
1342,"Event time has been updated","La hora del evento ha sido actualizada"
1343,"Event all day enabled","La hora del evento ha sido actualizada. Todo el dia."
1344,"Event all day disbaled","La hora del evento ha sido actualizada. No todo el dia."
1345,"Event description suggestion has been locked","La decripcion del evento ha sido fijada"
1346,"Event location suggestion has been locked","El lugar del evento ha sido fijado"
1347,"Event time suggestion has been locked","La hora del evento ha sido fijada"
1348,"Event Cancelled","El evento ha sido Cancelado"
1349," has been added"," se añadió al evento"
1350," left"," abandonó el evento"
1351," removed"," eliminado"
1352," are going"," asistirÃ¡s con "
1353," is going"," asistirÃ¡ con "
1354," maybe going"," tal vez asistas"
1355," are not going"," no asistirÃ¡s"
1356," is not going"," no asistirÃ¡"
1357,"Event location has been updated","El lugar del evento ha sido actualizado"
1358," Adults "," Adultos "
1359,"and ","y "
1360," Kids"," Niños"
1361," Adult "," Adultos "
1362," Kid"," Niños"
1363," are going with "," asistirÃ¡s con "
1364," is going with "," asistirÃ¡ con "
1365," event is deleted"," Evento fue eliminado"
1366," events are deleted"," Eventos fueros eliminados"
1367," event is cancelled"," Evento fue cancelado"
1368," events are cancelled"," Eventos fueron cancelados"
1369,"You\'re invited to a new event","Te han invitado a un evento"
1370,"You are invited to","Estas invitado a"
1371," left"," abandonó el evento"
1372," removed"," eliminado"
1373," is going to "," va a "
1374," may go to "," tal vez vaya a "
1375," is not going to "," no va a "
1376," haven\'t responded to "," no han respondido a "
1377," Updates"," Actualizaciones"
1378," new messages"," nuevos mensajes"
1379," new messages from "," nuevos mensajes de "
1380," events"," Eventos fueros eliminados"
1381,"Location","Lugar"
1382,"Contact","Contacto"
1383,"Guest list was updated","Lista de invitados fue actualizada"
1384,"New description suggested","Nueva descripción para el evento ha sido sugerida"
1385,"New location suggested","Nuevo lugar para el evento ha sido sugerido"
1386,"New date and time suggested","Nueva fecha y hora para el evento han sido sugeridos"
1387,"Event admin has been changed","El administrador del evento ha cambiado"
